Title,Price_USD,Old_Price_USD,Rating,Monthly_Sales,Available_Options,Link
"Roku Smart TV – 24-Inch Select Series, 720p HD TV – Roku TV with Voice Remote – Flat Screen LED Television with Wi-Fi for Streaming Live Local News, Sports, Family Entertainment",$99.99,$119.99,4.6 out of 5 stars,3K+ bought in past month,1 Option,https://www.amazon.com/Roku-Smart-2025-Television-Entertainment/dp/B0F8XV7MPP/ref=sr_1_11?dib=eyJ2IjoiMSJ9.MwRbkl64ag48qO0twMP0zl6BKa-ErrFmccJKKiHmWEthV-bxzwJqQdmO7Jje9aV3_W5o9N5n4ESoRvOab22Ixfig1qZAmp0Gocs8fV2hkJReWtfvyU8Aowv2eg6o1YxkDygh4wE_RdJi5AdutfdPqaV0n0KPkQE5OoGON710gONDx33QBSkl4Jz-eoH6PegBI3L4wpLvJBHb-NvHJIDclhGq9IptTqGfGES9WalDCdSsKKL3joj2w8tVqidxo3EzREUnNaDAzLWmu4SCfoDbW8bn0N2ip58JVB1rhjWZCXQ.0h4tPQOG-6uelYK3jLhlMEC1vUmAjWZnUxrQr4JiAVI&dib_tag=se&qid=1780228839&s=tv&sr=1-11
"Samsung 50-Inch Class Crystal UHD U8000H Series Samsung Vision AI Smart TV (2026 Model, 50U8000H) Crystal Processor 4K, Endless Free Content, Motion Xcelerator, Color Booster, Alexa Built-in",$297.99,No Discount,4.6 out of 5 stars,500+ bought in past month,2 sizes2 sizes,https://www.amazon.com/Samsung-50-Inch-50U8000H-Processor-Xcelerator/dp/B0GV1665R8/ref=sr_1_12?dib=eyJ2IjoiMSJ9.MwRbkl64ag48qO0twMP0zl6BKa-ErrFmccJKKiHmWEthV-bxzwJqQdmO7Jje9aV3_W5o9N5n4ESoRvOab22Ixfig1qZAmp0Gocs8fV2hkJReWtfvyU8Aowv2eg6o1YxkDygh4wE_RdJi5AdutfdPqaV0n0KPkQE5OoGON710gONDx33QBSkl4Jz-eoH6PegBI3L4wpLvJBHb-NvHJIDclhGq9IptTqGfGES9WalDCdSsKKL3joj2w8tVqidxo3EzREUnNaDAzLWmu4SCfoDbW8bn0N2ip58JVB1rhjWZCXQ.0h4tPQOG-6uelYK3jLhlMEC1vUmAjWZnUxrQr4JiAVI&dib_tag=se&qid=1780228839&s=tv&sr=1-12
"Samsung 65-Inch Class QLED Q8F 4K UHD Smart TV (2025 Model) Q4 AI Processor, 100% Color Volume with Quantum Dot, AirSlim Design, Endless Free Content, Samsung Vision AI, Alexa Built-in",$597.99,$897.99,4.4 out of 5 stars,500+ bought in past month,7 sizes7 sizes,https://www.amazon.com/Samsung-65-Inch-Processor-Quantum-AirSlim/dp/B0DYVPQZRF/ref=sr_1_13?dib=eyJ2IjoiMSJ9.MwRbkl64ag48qO0twMP0zl6BKa-ErrFmccJKKiHmWEthV-bxzwJqQdmO7Jje9aV3_W5o9N5n4ESoRvOab22Ixfig1qZAmp0Gocs8fV2hkJReWtfvyU8Aowv2eg6o1YxkDygh4wE_RdJi5AdutfdPqaV0n0KPkQE5OoGON710gONDx33QBSkl4Jz-eoH6PegBI3L4wpLvJBHb-NvHJIDclhGq9IptTqGfGES9WalDCdSsKKL3joj2w8tVqidxo3EzREUnNaDAzLWmu4SCfoDbW8bn0N2ip58JVB1rhjWZCXQ.0h4tPQOG-6uelYK3jLhlMEC1vUmAjWZnUxrQr4JiAVI&dib_tag=se&qid=1780228839&s=tv&sr=1-13
"Hisense 75"" QD7 Mini-LED 4K Smart Fire TV - QLED, 144Hz, HDR10+, Dolby Vision/Atmos, Game Mode Pro, Alexa Built-in (75QD7QF)",$549.99,$799.00,4.3 out of 5 stars,400+ bought in past month,6 sizes6 sizes,https://www.amazon.com/Hisense-Class-Mini-LED-Smart-75QD7QF/dp/B0DYVR8NVD/ref=sr_1_14?dib=eyJ2IjoiMSJ9.MwRbkl64ag48qO0twMP0zl6BKa-ErrFmccJKKiHmWEthV-bxzwJqQdmO7Jje9aV3_W5o9N5n4ESoRvOab22Ixfig1qZAmp0Gocs8fV2hkJReWtfvyU8Aowv2eg6o1YxkDygh4wE_RdJi5AdutfdPqaV0n0KPkQE5OoGON710gONDx33QBSkl4Jz-eoH6PegBI3L4wpLvJBHb-NvHJIDclhGq9IptTqGfGES9WalDCdSsKKL3joj2w8tVqidxo3EzREUnNaDAzLWmu4SCfoDbW8bn0N2ip58JVB1rhjWZCXQ.0h4tPQOG-6uelYK3jLhlMEC1vUmAjWZnUxrQr4JiAVI&dib_tag=se&qid=1780228839&s=tv&sr=1-14
"INSIGNIA 24” Class F20 Series LED HD Smart Fire TV, Voice Remote with Alexa, Free & Live TV",$69.99,$79.99,4.5 out of 5 stars,1K+ bought in past month,1 Option,https://www.amazon.com/INSIGNIA-24-inch-LED-HD-Fire-TV/dp/B0F9Z3H6YG/ref=sr_1_15?dib=eyJ2IjoiMSJ9.MwRbkl64ag48qO0twMP0zl6BKa-ErrFmccJKKiHmWEthV-bxzwJqQdmO7Jje9aV3_W5o9N5n4ESoRvOab22Ixfig1qZAmp0Gocs8fV2hkJReWtfvyU8Aowv2eg6o1YxkDygh4wE_RdJi5AdutfdPqaV0n0KPkQE5OoGON710gONDx33QBSkl4Jz-eoH6PegBI3L4wpLvJBHb-NvHJIDclhGq9IptTqGfGES9WalDCdSsKKL3joj2w8tVqidxo3EzREUnNaDAzLWmu4SCfoDbW8bn0N2ip58JVB1rhjWZCXQ.0h4tPQOG-6uelYK3jLhlMEC1vUmAjWZnUxrQr4JiAVI&dib_tag=se&qid=1780228839&s=tv&sr=1-15
"Hisense 75"" E6 Cinema Series Hi-QLED 4K UHD Smart Fire TV (75E6QF, 2025 Model) - AI Light Sensor, Dolby Vision · Atmos, Voice Remote with Alexa, Motion Rate 120, HDR 10+ Adaptive, Game Mode Plus",$497.99,$799.99,4.2 out of 5 stars,400+ bought in past month,7 sizes7 sizes,https://www.amazon.com/Hisense-Cinema-Hi-QLED-Smart-75E6QF/dp/B0FHLP9M1N/ref=sr_1_16?dib=eyJ2IjoiMSJ9.MwRbkl64ag48qO0twMP0zl6BKa-ErrFmccJKKiHmWEthV-bxzwJqQdmO7Jje9aV3_W5o9N5n4ESoRvOab22Ixfig1qZAmp0Gocs8fV2hkJReWtfvyU8Aowv2eg6o1YxkDygh4wE_RdJi5AdutfdPqaV0n0KPkQE5OoGON710gONDx33QBSkl4Jz-eoH6PegBI3L4wpLvJBHb-NvHJIDclhGq9IptTqGfGES9WalDCdSsKKL3joj2w8tVqidxo3EzREUnNaDAzLWmu4SCfoDbW8bn0N2ip58JVB1rhjWZCXQ.0h4tPQOG-6uelYK3jLhlMEC1vUmAjWZnUxrQr4JiAVI&dib_tag=se&qid=1780228839&s=tv&sr=1-16
"TCL Amazon Exclusive 75 Inch Class T7 Series | 4K QLED HDR Lag-Free Smart Google TV | 75T7, 2025 Model | 120Hz-144Hz High Brightness, Dolby Atmos, Alexa Voice Remote AI Streaming Gaming Television",$634.97,$899.99,4.5 out of 5 stars,400+ bought in past month,4 sizes4 sizes,https://www.amazon.com/TCL-75T7-120HZ-144HZ-Brightness-Television/dp/B0FTT4P85X/ref=sr_1_17?dib=eyJ2IjoiMSJ9.MwRbkl64ag48qO0twMP0zl6BKa-ErrFmccJKKiHmWEthV-bxzwJqQdmO7Jje9aV3_W5o9N5n4ESoRvOab22Ixfig1qZAmp0Gocs8fV2hkJReWtfvyU8Aowv2eg6o1YxkDygh4wE_RdJi5AdutfdPqaV0n0KPkQE5OoGON710gONDx33QBSkl4Jz-eoH6PegBI3L4wpLvJBHb-NvHJIDclhGq9IptTqGfGES9WalDCdSsKKL3joj2w8tVqidxo3EzREUnNaDAzLWmu4SCfoDbW8bn0N2ip58JVB1rhjWZCXQ.0h4tPQOG-6uelYK3jLhlMEC1vUmAjWZnUxrQr4JiAVI&dib_tag=se&qid=1780228839&s=tv&sr=1-17
"TOSHIBA 50"" Class C350 Series LED 4K UHD Smart Fire TV, Voice Remote with Alexa, Stream Live TV Without Cable",$199.99,$349.99,4.3 out of 5 stars,1K+ bought in past month,5 sizes5 sizes,https://www.amazon.com/Toshiba-50-inch-4K-LED-Fire-TV/dp/B0DZ8R71DB/ref=sr_1_18?dib=eyJ2IjoiMSJ9.MwRbkl64ag48qO0twMP0zl6BKa-ErrFmccJKKiHmWEthV-bxzwJqQdmO7Jje9aV3_W5o9N5n4ESoRvOab22Ixfig1qZAmp0Gocs8fV2hkJReWtfvyU8Aowv2eg6o1YxkDygh4wE_RdJi5AdutfdPqaV0n0KPkQE5OoGON710gONDx33QBSkl4Jz-eoH6PegBI3L4wpLvJBHb-NvHJIDclhGq9IptTqGfGES9WalDCdSsKKL3joj2w8tVqidxo3EzREUnNaDAzLWmu4SCfoDbW8bn0N2ip58JVB1rhjWZCXQ.0h4tPQOG-6uelYK3jLhlMEC1vUmAjWZnUxrQr4JiAVI&dib_tag=se&qid=1780228839&s=tv&sr=1-18
"Amazon Ember 32"" 2-Series with Fire TV (newest model), HD smart TV with Alexa Remote, fast streaming, Dolby Audio, Ambient Experience, free and live TV, find shows faster with Alexa+",$159.99,No Discount,4.4 out of 5 stars,1K+ bought in past month,1 Option,https://www.amazon.com/Fire-TV-2-Series-32-inch/dp/B0F758GJFX/ref=sr_1_19?dib=eyJ2IjoiMSJ9.MwRbkl64ag48qO0twMP0zl6BKa-ErrFmccJKKiHmWEthV-bxzwJqQdmO7Jje9aV3_W5o9N5n4ESoRvOab22Ixfig1qZAmp0Gocs8fV2hkJReWtfvyU8Aowv2eg6o1YxkDygh4wE_RdJi5AdutfdPqaV0n0KPkQE5OoGON710gONDx33QBSkl4Jz-eoH6PegBI3L4wpLvJBHb-NvHJIDclhGq9IptTqGfGES9WalDCdSsKKL3joj2w8tVqidxo3EzREUnNaDAzLWmu4SCfoDbW8bn0N2ip58JVB1rhjWZCXQ.0h4tPQOG-6uelYK3jLhlMEC1vUmAjWZnUxrQr4JiAVI&dib_tag=se&qid=1780228839&s=tv&sr=1-19
"Hisense 40-Inch Class A4 Series FHD 1080p Smart Fire TV (40A4NF, 2025 Model) - DTS Virtual: X, Slim Bezel Design, Alexa Built in, Streaming TV, Black",$139.99,No Discount,4.5 out of 5 stars,1K+ bought in past month,1 Option,https://www.amazon.com/Hisense-40-Inch-Class-1080p-40A4NF/dp/B0DYR3D7QQ/ref=sr_1_20?dib=eyJ2IjoiMSJ9.MwRbkl64ag48qO0twMP0zl6BKa-ErrFmccJKKiHmWEthV-bxzwJqQdmO7Jje9aV3_W5o9N5n4ESoRvOab22Ixfig1qZAmp0Gocs8fV2hkJReWtfvyU8Aowv2eg6o1YxkDygh4wE_RdJi5AdutfdPqaV0n0KPkQE5OoGON710gONDx33QBSkl4Jz-eoH6PegBI3L4wpLvJBHb-NvHJIDclhGq9IptTqGfGES9WalDCdSsKKL3joj2w8tVqidxo3EzREUnNaDAzLWmu4SCfoDbW8bn0N2ip58JVB1rhjWZCXQ.0h4tPQOG-6uelYK3jLhlMEC1vUmAjWZnUxrQr4JiAVI&dib_tag=se&qid=1780228839&s=tv&sr=1-20
